id,followers,genres,name,popularity
1nIUhcKHnK6iyumRyoV68C,765619,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",Ennio Morricone,70
2aAHdB5HweT3mFcRzm0swc,369568,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",Glenn Miller,60
3QXjI80udwDSEfxK5BjUXc,14703,"['cabaret', 'vintage hollywood']",Maurice Chevalier,39
5MpELOfAiq7aIBTij30phD,58325,"['adult standards', 'big band', 'jazz trumpet', 'lounge', 'swing']",Harry James,58
0DYWCXTkNqGFZIf67SrWEa,94962,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz', 'jazz piano', 'stride', 'swing', 'tin pan alley', 'vocal jazz']",Fats Waller,49
5o8E07TcYqIefZpDejymAd,14181,"['big band', 'swing', 'vocal harmony group']",The Pied Pipers,51
6lXiGaWjISZnER53ZJe6QO,431,[],His Orchestra,43
4AxgXfD7ISvJSTObqm4aIE,5072,['vintage chanson'],Mistinguett,22
3oLKocKU2vgprWeskj53Fo,499,['orchestral performance'],William Steinberg,33
3HqN7Sq7rmpOEI9UV5ERuz,2693,['classic soundtrack'],Victor Young,31
0Yly6PvJghpLD3Lj8Kvpcj,675,['vintage chanson'],Georgius,8
3BiJGZsyX9sJchTqcSA7Su,11312,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']",Dick Haymes,35
1mZm40boQmdGKicfbNkd0r,3277,"['big band', 'swing', 'tin pan alley', 'vintage jazz']",Paul Whiteman,29
0EFbbYqV2BDlRwk7A1SGtb,3563,['deep adult standards'],Tony Martin,31
0tIS1GWwrWqr4DHK0RLg5u,4069,"['big band', 'vintage jazz']",Paul Whiteman & His Orchestra,26
58wzyK6DupVsypvs3QV2Fo,1449,['space age pop'],Gordon Jenkins,22
7DIlOK9L8d0IQ7Xk8aJxDW,293,['vintage chanson'],Félix Mayol,4
7whJVIXB2bY3MldaOyE8TL,63,[],New England Conservatory Chorus,15
28pbIiOohRRZjqpAM9iqYM,39,['vintage chanson'],Louis Lynel,2
3i3fzCE5RlDGN5HSshHe4B,2874,"['operetta', 'vintage classical singing', 'vintage schlager']",Richard Tauber,23
5LiOoJbxVSAMkBS2fUm3X2,3527,"['tango', 'vintage tango']",Ignacio Corsini,23
79yCMWbCizwUeILWnLCQNp,2912,"['torch song', 'vaudeville', 'vintage jazz']",Marion Harris,23
4OWTlYl5kkhaZEsyjUhouC,755,['tin pan alley'],Isham Jones,20
65A1WinXDUhVkZD98s8kKU,28,['vintage jazz'],Isham Jones & His Orchestra,4
0DhFxctImIYNNSEHuLQi5U,2,[],Jim Chapman,0
0hKr2636wsQI7PrARkAiaA,25,['vintage chanson'],Fortugé,0
0j19BnfHYXPWjgIk8GSnb1,0,[],J. K. Rakshit,0
0s59DhH4qHNznxf4iAaU6p,0,[],Krishna Bhamini,0
0uDVIsJ2QA5i7B5jk9XRDF,0,[],Monta Babu,0
0vBnfChoKbX1sOeo0N9vwv,0,[],Jitendra Nath Dutt,0
0wvSc7vKa2cDNeNGSf0DL7,131,['big band'],Ray Miller And His Orchestra,6
14jtPCOoNZwquk5wd9DxrY,3,[],Fernando Pessoa,0
18mX1gMCx67ZdPRtv644Wi,37,[],Dréan,0
1C6Zh4dhDhYaPPrGKaqJoN,0,[],Manadasundari Dassi,0
1NElogFmaZxxGVsKS6hvl2,39,[],Vincent Lopez and his Orchestra,7
1gDAm4ngGz6anm5vbntR0m,0,[],Gopeshwar Banerjee,0
1vOETNaRYWmVRA3MOfNXCW,57,[],Miss Angurbala,0
2BmsHycP0u0IVurrZa9pud,0,[],M. N. Ghosh,0
2FGQVjpBWxxZxm4YR0IF0E,4,[],K Mullick,0
2LZ8qA1M88bjqXVEVpoHXC,1,[],Bedana Dasi,0
2QTe6MZjctuDgIwIdAMCNt,0,[],Brajendra Lal Ganguly,0
2kBMqLbeN3STYqwPqJW45j,28,['vintage chanson'],Perchicot,0
2nuMRGzeJ5jJEKlfS7rZ0W,15,[],Francis Marty,0
2oB0bO8MxKylUvZZjw14y1,23,[],Harendranath Dutta,0
2xOxozJbMNDRrZFA2Cuuc2,0,[],Purnakumari Dasi,0
3cNzWID6yZ1HN8qj4gqfxF,176,[],Abe Lyman,8
3wxzXhMAoYbpJDXtBxs9gX,55,[],Vincent Lopez,1
45tIt06XoI0Iio4LBEVpls,91,[],Uli,4
