id,followers,genres,name,popularity
1nIUhcKHnK6iyumRyoV68C,765940,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",Ennio Morricone,70
2aAHdB5HweT3mFcRzm0swc,369680,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",Glenn Miller,60
5MpELOfAiq7aIBTij30phD,58395,"['adult standards', 'big band', 'jazz trumpet', 'lounge', 'swing']",Harry James,58
6lXiGaWjISZnER53ZJe6QO,432,[],His Orchestra,43
5o8E07TcYqIefZpDejymAd,14205,"['big band', 'swing', 'vocal harmony group']",The Pied Pipers,51
0DYWCXTkNqGFZIf67SrWEa,95006,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz', 'jazz piano', 'stride', 'swing', 'tin pan alley', 'vocal jazz']",Fats Waller,49
3oLKocKU2vgprWeskj53Fo,499,['orchestral performance'],William Steinberg,33
3BiJGZsyX9sJchTqcSA7Su,11317,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']",Dick Haymes,35
3QXjI80udwDSEfxK5BjUXc,14712,"['cabaret', 'vintage hollywood']",Maurice Chevalier,39
3HqN7Sq7rmpOEI9UV5ERuz,2696,['classic soundtrack'],Victor Young,31
5LiOoJbxVSAMkBS2fUm3X2,3528,"['tango', 'vintage tango']",Ignacio Corsini,23
1mZm40boQmdGKicfbNkd0r,3278,"['big band', 'swing', 'tin pan alley', 'vintage jazz']",Paul Whiteman,29
0EFbbYqV2BDlRwk7A1SGtb,3564,['deep adult standards'],Tony Martin,31
4OWTlYl5kkhaZEsyjUhouC,756,['tin pan alley'],Isham Jones,20
0tIS1GWwrWqr4DHK0RLg5u,4069,"['big band', 'vintage jazz']",Paul Whiteman & His Orchestra,26
58wzyK6DupVsypvs3QV2Fo,1449,['space age pop'],Gordon Jenkins,22
3i3fzCE5RlDGN5HSshHe4B,2875,"['operetta', 'vintage classical singing', 'vintage schlager']",Richard Tauber,23
4AxgXfD7ISvJSTObqm4aIE,5076,['vintage chanson'],Mistinguett,22
79yCMWbCizwUeILWnLCQNp,2911,"['torch song', 'vaudeville', 'vintage jazz']",Marion Harris,23
7whJVIXB2bY3MldaOyE8TL,63,[],New England Conservatory Chorus,15
0DhFxctImIYNNSEHuLQi5U,2,[],Jim Chapman,0
0Yly6PvJghpLD3Lj8Kvpcj,675,['vintage chanson'],Georgius,8
