id,followers,genres,name,popularity
1nIUhcKHnK6iyumRyoV68C,765619,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",Ennio Morricone,70
5MpELOfAiq7aIBTij30phD,58325,"['adult standards', 'big band', 'jazz trumpet', 'lounge', 'swing']",Harry James,58
2aAHdB5HweT3mFcRzm0swc,369568,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",Glenn Miller,60
6lXiGaWjISZnER53ZJe6QO,431,[],His Orchestra,43
5o8E07TcYqIefZpDejymAd,14181,"['big band', 'swing', 'vocal harmony group']",The Pied Pipers,51
0DYWCXTkNqGFZIf67SrWEa,94962,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz', 'jazz piano', 'stride', 'swing', 'tin pan alley', 'vocal jazz']",Fats Waller,49
3BiJGZsyX9sJchTqcSA7Su,11312,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']",Dick Haymes,35
3QXjI80udwDSEfxK5BjUXc,14703,"['cabaret', 'vintage hollywood']",Maurice Chevalier,39
3oLKocKU2vgprWeskj53Fo,499,['orchestral performance'],William Steinberg,33
0EFbbYqV2BDlRwk7A1SGtb,3563,['deep adult standards'],Tony Martin,31
1mZm40boQmdGKicfbNkd0r,3277,"['big band', 'swing', 'tin pan alley', 'vintage jazz']",Paul Whiteman,29
3HqN7Sq7rmpOEI9UV5ERuz,2693,['classic soundtrack'],Victor Young,31
3i3fzCE5RlDGN5HSshHe4B,2874,"['operetta', 'vintage classical singing', 'vintage schlager']",Richard Tauber,23
4AxgXfD7ISvJSTObqm4aIE,5072,['vintage chanson'],Mistinguett,22
4OWTlYl5kkhaZEsyjUhouC,755,['tin pan alley'],Isham Jones,20
58wzyK6DupVsypvs3QV2Fo,1449,['space age pop'],Gordon Jenkins,22
6LxnbCQ3ZrKj1lvC1lylS5,25,[],Abe Lyman’s Orchestra,5
0DhFxctImIYNNSEHuLQi5U,2,[],Jim Chapman,0
0Yly6PvJghpLD3Lj8Kvpcj,675,['vintage chanson'],Georgius,8
0hKr2636wsQI7PrARkAiaA,25,['vintage chanson'],Fortugé,0
0j19BnfHYXPWjgIk8GSnb1,0,[],J. K. Rakshit,0
0s59DhH4qHNznxf4iAaU6p,0,[],Krishna Bhamini,0
0tIS1GWwrWqr4DHK0RLg5u,4069,"['big band', 'vintage jazz']",Paul Whiteman & His Orchestra,26
0uDVIsJ2QA5i7B5jk9XRDF,0,[],Monta Babu,0
0vBnfChoKbX1sOeo0N9vwv,0,[],Jitendra Nath Dutt,0
0wvSc7vKa2cDNeNGSf0DL7,131,['big band'],Ray Miller And His Orchestra,6
14jtPCOoNZwquk5wd9DxrY,3,[],Fernando Pessoa,0
18mX1gMCx67ZdPRtv644Wi,37,[],Dréan,0
